Round,Date,Home Team,Score,Away Team,Venue
13,"Sunday 13 March,0",Adelaide Thunderbirds,42–64,Queensland Firebirds,"ETSA Park Adelaide"
13,"Monday 21 February,0",Canterbury Tactix,48–54,West Coast Fever,"CBS Canterbury Arena Christchurch"
13,"Sunday 17 April,0",Southern Steel,33–38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome
13,"Sunday 1 May,0",Melbourne Vixens,33–45,New South Wales Swifts,"Hisense Arena Melbourne"
14,"Saturday 5 March,0",Adelaide Thunderbirds,51–41,Central Pulse,"ETSA Park Adelaide"
14,"Sunday 6 March,0",Queensland Firebirds,51–36,Southern Steel,Brisbane Convention and Exhibition Centre
14,"Sunday 6 March,0",Northern Mystics,56–54,Melbourne Vixens,"Trusts Stadium Auckland"
14,"Thursday 17 March,0",West Coast Fever,49–70,New South Wales Swifts,"Challenge Stadium Perth"
14,"Thursday 14 April,0",Waikato Bay of Plenty Magic,53–49,Canterbury Tactix,"Energy Events Centre Rotorua"
15,"Monday 9 May,0",Queensland Firebirds,50-39,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
15,"Sunday 8 May,0",New South Wales Swifts,44-49,Northern Mystics,"State Sports Centre Sydney"
16,"Sunday 15 May,0",Waikato Bay of Plenty Magic,42-43,Northern Mystics,"Mystery Creek Events Centre Hamilton"
17,"Sunday 22 May,0",Queensland Firebirds,57-44,Northern Mystics,Brisbane Convention & Exhibition Centre
